surface,method,noise,progress
HIP,Plain GAD dt=.003,0.01,79.0
HIP,Plain GAD dt=.003,0.01,80.0
HIP,Plain GAD dt=.003,0.01,80.0
HIP,Plain GAD dt=.003,0.01,85.0
HIP,Plain GAD dt=.003,0.01,86.0
HIP,Plain GAD dt=.003,0.01,86.0
HIP,Plain GAD dt=.003,0.01,86.0
HIP,Plain GAD dt=.003,0.01,88.0
HIP,Plain GAD dt=.003,0.01,89.0
HIP,Plain GAD dt=.003,0.01,90.0
HIP,Plain GAD dt=.003,0.01,92.0
HIP,Plain GAD dt=.003,0.01,93.0
HIP,Plain GAD dt=.003,0.01,94.0
HIP,Plain GAD dt=.003,0.01,97.0
HIP,Plain GAD dt=.003,0.01,98.0
HIP,Plain GAD dt=.003,0.01,99.0
HIP,Plain GAD dt=.003,0.01,99.0
HIP,Plain GAD dt=.003,0.01,99.0
HIP,Plain GAD dt=.003,0.01,100.0
HIP,Plain GAD dt=.003,0.01,100.0
HIP,Plain GAD dt=.003,0.01,100.0
HIP,Plain GAD dt=.003,0.01,101.0
HIP,Plain GAD dt=.003,0.01,103.0
HIP,Plain GAD dt=.003,0.01,104.0
HIP,Plain GAD dt=.003,0.01,105.0
HIP,Plain GAD dt=.003,0.01,108.0
HIP,Plain GAD dt=.003,0.01,108.0
HIP,Plain GAD dt=.003,0.01,109.0
HIP,Plain GAD dt=.003,0.01,109.0
HIP,Plain GAD dt=.003,0.01,110.0
HIP,Plain GAD dt=.003,0.01,111.0
HIP,Plain GAD dt=.003,0.01,111.0
HIP,Plain GAD dt=.003,0.01,112.0
HIP,Plain GAD dt=.003,0.01,112.0
HIP,Plain GAD dt=.003,0.01,112.0
HIP,Plain GAD dt=.003,0.01,113.0
HIP,Plain GAD dt=.003,0.01,113.0
HIP,Plain GAD dt=.003,0.01,114.0
HIP,Plain GAD dt=.003,0.01,115.0
HIP,Plain GAD dt=.003,0.01,115.0
HIP,Plain GAD dt=.003,0.01,115.0
HIP,Plain GAD dt=.003,0.01,116.0
HIP,Plain GAD dt=.003,0.01,117.0
HIP,Plain GAD dt=.003,0.01,117.0
HIP,Plain GAD dt=.003,0.01,118.0
HIP,Plain GAD dt=.003,0.01,118.0
HIP,Plain GAD dt=.003,0.01,118.0
HIP,Plain GAD dt=.003,0.01,119.0
HIP,Plain GAD dt=.003,0.01,120.0
HIP,Plain GAD dt=.003,0.01,120.0
HIP,Plain GAD dt=.003,0.01,121.0
HIP,Plain GAD dt=.003,0.01,121.0
HIP,Plain GAD dt=.003,0.01,121.0
HIP,Plain GAD dt=.003,0.01,121.0
HIP,Plain GAD dt=.003,0.01,122.0
HIP,Plain GAD dt=.003,0.01,122.0
HIP,Plain GAD dt=.003,0.01,124.0
HIP,Plain GAD dt=.003,0.01,124.0
HIP,Plain GAD dt=.003,0.01,124.0
HIP,Plain GAD dt=.003,0.01,124.0
HIP,Plain GAD dt=.003,0.01,124.0
HIP,Plain GAD dt=.003,0.01,124.0
HIP,Plain GAD dt=.003,0.01,125.0
HIP,Plain GAD dt=.003,0.01,125.0
HIP,Plain GAD dt=.003,0.01,125.0
HIP,Plain GAD dt=.003,0.01,126.0
HIP,Plain GAD dt=.003,0.01,126.0
HIP,Plain GAD dt=.003,0.01,126.0
HIP,Plain GAD dt=.003,0.01,128.0
HIP,Plain GAD dt=.003,0.01,129.0
HIP,Plain GAD dt=.003,0.01,129.0
HIP,Plain GAD dt=.003,0.01,129.0
HIP,Plain GAD dt=.003,0.01,132.0
HIP,Plain GAD dt=.003,0.01,133.0
HIP,Plain GAD dt=.003,0.01,133.0
HIP,Plain GAD dt=.003,0.01,133.0
HIP,Plain GAD dt=.003,0.01,134.0
HIP,Plain GAD dt=.003,0.01,134.0
HIP,Plain GAD dt=.003,0.01,135.0
HIP,Plain GAD dt=.003,0.01,135.0
HIP,Plain GAD dt=.003,0.01,135.0
HIP,Plain GAD dt=.003,0.01,136.0
HIP,Plain GAD dt=.003,0.01,137.0
HIP,Plain GAD dt=.003,0.01,137.0
HIP,Plain GAD dt=.003,0.01,140.0
