method,trust_radius,noise_pm,n,n_conv,conv_pct,avg_total_steps,med_total_steps,med_step_conv,p95_step_conv,avg_wall_s,med_wall_s,total_wall_s,wall_per_conv_s,avg_fmax,min_fmax,avg_n_neg,n_used_newton,frac_used_newton
hybrid_eckart_swtrue,0.02,10,287,243,84.66898954703832,163.70034843205576,10.0,8.0,25.899999999999977,9.771880312663752,0.5902450084686279,2804.529649734497,11.541274278742787,0.010266503556093067,0.0031957963047181234,1.0278745644599303,279,0.9721254355400697
hybrid_eckart_swtrue,0.05,10,287,243,84.66898954703832,160.9616724738676,7.0,5.0,21.899999999999977,9.693494476923128,0.42479944229125977,2782.032914876938,11.448695122950362,0.01040471159752904,0.002236534100453783,1.0313588850174216,279,0.9721254355400697
hybrid_eckart_swtrue,0.1,10,287,245,85.36585365853658,153.595818815331,7.0,5.0,21.799999999999983,9.247706387516514,0.41262006759643555,2654.0917332172394,10.833027482519345,0.010895784088200347,0.00278043636657296,1.024390243902439,281,0.9790940766550522
hybrid_eckart_swtrue,0.005,100,287,186,64.80836236933798,501.2926829268293,241.0,194.5,486.25,30.229304128407602,14.52629017829895,8675.810284852982,46.64414131641388,0.19061047481487417,0.002836674622120984,1.1219512195121952,246,0.8571428571428571
hybrid_eckart_swtrue,0.01,100,287,188,65.50522648083624,436.7177700348432,142.0,105.0,317.3,26.247227190263594,8.734824895858765,7532.954203605652,40.06890533832794,0.21810489300764901,0.002373993628996707,1.1219512195121952,248,0.8641114982578397
hybrid_eckart_swtrue,0.02,100,287,187,65.15679442508711,409.88850174216026,99.0,60.0,272.1999999999998,26.140201556142614,6.386977672576904,7502.23784661293,40.11891896584455,0.19779214347030505,0.002381012816050242,1.1289198606271778,247,0.8606271777003485
hybrid_eckart_swtrue,0.05,100,287,188,65.50522648083624,394.20905923344947,80.0,38.5,273.45000000000005,23.558002329038825,4.704804182052612,6761.146668434143,35.96354610869225,0.18625122580614864,0.0032677966598035867,1.1219512195121952,248,0.8641114982578397
hybrid_eckart_swtrue,0.1,100,287,187,65.15679442508711,393.25435540069685,67.0,33.0,270.6999999999999,23.806659509080628,4.047922134399414,6832.51127910614,36.53749347115583,0.14869109530032848,0.002915956120504034,1.1114982578397212,252,0.8780487804878049
hybrid_swfalse,0.005,10,287,256,89.19860627177701,242.30662020905925,113.0,106.0,501.75,14.33321790246598,6.681225538253784,4113.633538007736,16.06888100784272,0.01109492073879086,0.008752422192855628,1.0104529616724738,0,0.0
hybrid_swfalse,0.01,10,287,255,88.85017421602788,240.9965156794425,111.0,104.0,451.7999999999989,13.993088932402873,6.442286252975464,4016.0165235996246,15.749084406273038,0.011092673299077815,0.008407930898124957,1.0104529616724738,0,0.0
hybrid_swfalse,0.02,10,287,255,88.85017421602788,240.84668989547038,111.0,104.0,454.29999999999893,14.06958637586454,6.457981824874878,4037.971289873123,15.835181528914209,0.011084156505522686,0.009002176334483653,1.0104529616724738,0,0.0
hybrid_swfalse,0.05,10,287,255,88.85017421602788,240.84668989547038,111.0,104.0,447.99999999999875,14.11001431568159,6.480281114578247,4049.5741086006165,15.880682778825946,0.011083071883834842,0.009002431838219749,1.0104529616724738,0,0.0
hybrid_swfalse,0.1,10,287,255,88.85017421602788,240.84668989547038,111.0,104.0,447.99999999999875,14.139409624325689,6.479537725448608,4058.010562181473,15.91376691051558,0.011083958967542665,0.00900250203568707,1.0104529616724738,0,0.0
hybrid_swfalse,0.005,100,287,192,66.89895470383276,702.8362369337979,667.0,540.5,867.1499999999999,43.43564615349321,40.685084104537964,12466.030446052551,64.9272419065237,0.1579576741163093,0.007707075196685455,1.0801393728222997,0,0.0
hybrid_swfalse,0.01,100,287,194,67.59581881533101,674.0557491289198,627.0,499.5,865.75,39.072866877612334,36.21923089027405,11213.91279387474,57.80367419523062,0.18184006839215072,0.007883673935396896,1.0766550522648084,0,0.0
hybrid_swfalse,0.02,100,287,194,67.59581881533101,663.1324041811847,607.0,484.5,846.4499999999999,38.67072252446351,34.97076725959778,11098.497364521027,57.20874930165478,0.1740646926054019,0.007503533486335226,1.0731707317073171,0,0.0
hybrid_swfalse,0.05,100,287,194,67.59581881533101,658.1149825783972,603.0,478.0,841.75,38.729265666589505,35.209781646728516,11115.299246311188,57.29535693974839,0.15329093666796895,0.008554837717284736,1.0801393728222997,0,0.0
hybrid_swfalse,0.1,100,287,195,67.94425087108014,657.3310104529617,601.0,480.0,851.7999999999997,38.36408125066591,35.017064571380615,11010.491318941116,56.46405804585188,0.16071605279237008,0.00847272700585411,1.0731707317073171,0,0.0
